# 0.2 < z < 0.5
# logMs phi lowerbound upperbound
8.3128 -1.6829 -1.7266 -1.6539
8.6278 -1.8129 -1.8637 -1.7837
8.8776 -1.9066 -1.9502 -1.8557
9.1329 -2.0222 -2.0658 -1.964
9.3772 -2.1523 -2.2032 -2.1087
9.6325 -2.2534 -2.297 -2.2097
9.8769 -2.3544 -2.4271 -2.318
10.1321 -2.4482 -2.5063 -2.4046
10.3874 -2.4983 -2.571 -2.4329
10.6317 -2.6139 -2.6793 -2.5339
10.8707 -2.7877 -2.8676 -2.7077
11.1314 -3.0995 -3.194 -2.9977
11.3866 -3.6657 -3.8329 -3.5858
11.6364 -4.261 -4.4428 -4.1011
