# 1.5 < z < 2.0
# logMs phi lowerbound upperbound
8.89210 -2.2584 -2.3230 -2.2072
9.12820 -2.3248 -2.3816 -2.2658
9.37520 -2.4422 -2.5069 -2.3766
9.62750 -2.5670 -2.6264 -2.525
9.87710 -2.7246 -2.7805 -2.6676
10.1295 -2.8020 -2.8565 -2.7407
10.3766 -2.8428 -2.9094 -2.7878
10.6181 -2.9347 -3.0115 -2.8754
10.8785 -3.0924 -3.1512 -3.0296
11.1251 -3.4506 -3.5428 -3.3807
11.3770 -3.9220 -4.0445 -3.8418
11.6201 -4.7764 -4.9690 -4.6534
11.8709 -5.9666 -6.9909 -5.6936
