# 2.5 < z < 3
# logMs phi lowerbound upperbound
9.1540 -2.44510 -2.4871 -2.4036
9.3655 -2.48640 -2.5282 -2.4446
9.6185 -2.63870 -2.6898 -2.5922
9.8645 -2.82810 -2.8746 -2.7817
10.1175 -3.0315 -3.1058 -2.9665
10.3705 -3.1977 -3.2813 -3.1188
10.6131 -3.4337 -3.5312 -3.3547
10.8734 -3.7299 -3.8413 -3.6231
11.1161 -4.0447 -4.1933 -3.9194
11.3733 -4.5406 -4.7450 -4.3828
11.6129 -5.0691 -5.4359 -4.8555
11.8783 -6.2754 -6.9860 -5.8854
