# 2.5 < z < 3.0
# logMs phi lowerbound upperbound
9.15040 -2.4466 -2.5163 -2.3827
9.37000 -2.4872 -2.5395 -2.435
9.62830 -2.6324 -2.6846 -2.5743
9.89090 -2.8240 -2.8762 -2.7659
10.1189 -3.0214 -3.0678 -2.9633
10.3729 -3.1665 -3.2246 -3.0969
10.6311 -3.3465 -3.4220 -3.2478
10.8807 -3.6078 -3.7065 -3.5091
11.1172 -3.9329 -4.0839 -3.8168
11.3794 -4.4265 -4.6181 -4.2581
11.6285 -5.0651 -5.4425 -4.8561
11.8730 -5.9883 -7.0334 -5.6283
