# 0.8 < z < 1.1
# logMs phi lowerbound upperbound
8.8574 -2.02480 -2.0652 -1.9806
9.1140 -2.11670 -2.1534 -2.0505
9.3705 -2.20860 -2.2490 -2.1387
9.6132 -2.32260 -2.3630 -2.2711
9.8670 -2.44390 -2.4917 -2.3888
10.1181 -2.5836 -2.6241 -2.5285
10.3664 -2.7050 -2.7748 -2.6425
10.6062 -2.8079 -2.8962 -2.7491
10.8658 -2.9918 -3.1204 -2.9109
11.1088 -3.3337 -3.4403 -3.2712
11.3689 -3.9404 -4.0617 -3.8705
11.6127 -4.8265 -5.0508 -4.6831
11.8696 -5.5759 -6.2457 -5.2346
