# 0.2 < z < 0.5
# logMs phi lowerbound upperbound
8.8762 -1.9452 -2.00870 -1.8878
9.1224 -2.0613 -2.12660 -2.0058
9.3756 -2.2005 -2.25190 -2.1383
9.6324 -2.3304 -2.38810 -2.2673
9.8786 -2.4696 -2.53900 -2.4108
10.1248 -2.5903 -2.6532 -2.5251
10.3781 -2.6741 -2.7492 -2.5991
10.6242 -2.8686 -2.9440 -2.7829
10.8738 -3.0678 -3.1498 -2.9741
11.1195 -3.4976 -3.6267 -3.4107
11.3685 -4.1213 -4.3050 -4.0084
