# 3.5 < z < 4.5
# logMs phi lowerbound upperbound
9.41340 -2.8803 -2.9265 -2.8225
9.62000 -2.9722 -3.0242 -2.9143
9.87840 -3.2142 -3.2951 -3.1391
10.1197 -3.4794 -3.5545 -3.4158
10.3653 -3.7620 -3.8601 -3.6752
10.6237 -4.0155 -4.1369 -3.8999
10.8692 -4.2576 -4.4541 -4.1477
11.1232 -4.4303 -4.6441 -4.2858
11.3647 -4.8458 -5.1289 -4.6549
11.6190 -5.2670 -5.6947 -5.0647
11.8735 -5.7518 -6.6535 -5.4743
